1,"Love Yourself","Justin Bieber",2016,"For all the times that you rain on my parade And all the clubs you get in using my name You think you broke my heart, oh girl for goodness sake You think I'm crying on my own, well I ain't And I didn't wanna write a song Cause I didn't want anyone thinking I still care I don't but, you still hit my phone up And baby I be movin' on And I think you should be somethin' I don't wanna hold back, maybe you should know that My mama don't like you and she likes everyone And I never like to admit that I was wrong And I've been so caught up in my job, didn't see what's going on But now I know, I'm better sleeping on my own Cause if you like the way you look that much Oh, baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself And when you told me that you hated my friends The only problem was with you and not them And every time you told me my opinion was wrong And tried to make me forget where I came from And I didn't wanna write a song Cause I didn't want anyone thinking I still care I don't but, you still hit my phone up And baby I be movin' on And I think you should be somethin' I don't wanna hold back, maybe you should know that My mama don't like you and she likes everyone And I never like to admit that I was wrong And I've been so caught up in my job, didn't see what's going on But now I know, I'm better sleeping on my own Cause if you like the way you look that much Oh, baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself For all the times that you made me feel small I fell in love, now I feel nothin' at all Had never felt so low when I was vulnerable Was I a fool to let you break down my walls? Cause if you like the way you look that much Oh, baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself Cause if you like the way you look that much Oh, baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself"
2,"Sorry","Justin Bieber",2016,"You gotta go and get angry at all of my honesty You know I try but I don't do too well with apologies I hope I don't run out of time, could someone call a referee? Cause I just need one more shot at forgiveness I know you know that I made those mistakes maybe once or twice By once or twice I mean maybe a couple a hundred times So let me, oh let me redeem, oh redeem, oh myself tonight Cause I just need one more shot at second chances Yeah, is it too late now to say sorry? Cause I'm missing more than just your body Is it too late now to say sorry? Yeah I know that I let you down Is it too late to say I'm sorry now? I'm sorry, yeah Sorry, yeah Sorry Yeah I know that I let you down Is it too late to say I'm sorry now? I'll take every single piece of the blame if you want me to But you know that there is no innocent one in this game for two I'll go, I'll go and then you go, you go out and spill the truth Can we both say the words and forget this? Is it too late now to say sorry? Cause I'm missing more than just your body Is it too late now to say sorry? Yeah I know that I let you down Is it too late to say I'm sorry now? I'm not just trying to get you back on me Cause I'm missing more than just your body Is it too late now to say sorry? Yeah I know that I let you down Is it too late to say I'm sorry now? I'm sorry, yeah Sorry, oh Sorry Yeah I know that I let you down Is it too late to say I'm sorry now? I'm sorry, yeah Sorry, oh Sorry Yeah I know that I let you down Is it too late to say I'm sorry now?"
3,"One Dance","Drake featuring Wizkid and Kyla",2016,"Baby, I like your style Grips on your waist Front way, back way You know that I don't play Streets not safe But I never run away Even when I'm away Oti, oti, there's never much love when we go OT I pray to make it back in one piece I pray, I pray That's why I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me Baby, I like your style Strength and guidance All that I'm wishing for my friends Nobody makes it from my ends I had to bust up the silence You know you gotta stick by me Soon as you see the text, reply me I don't wanna spend time fighting We've got no time And that's why I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me Got a pretty girl and she love me long time Wine it, wine it, very long time Oh, yeah, she steady on grindin' Back up, back up, back up and wine it Back up, back up and wine it Back up, back up, back up and wine it Oh, yeah, she steady on grindin' Back up, back up and wine it, girl Tell me, I need to know, where do you wanna go? 'Cause if you're down, I'll take it slow Make you lose control Where, where, where Where, where, where, where Oh, yeah, she steady on grindin' Where, where, where Back up, back up and wine it, girl Where, where, where, where 'Cause if you're down Back up, back up and 'Cause if you're down Back up, back up and 'Cause if you're down Back up, back up and I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me"
4,"Work","Rihanna featuring Drake",2016,"Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work! He see me do mi Dirt, dirt, dirt, dirt, dirt, dirt! So me put in Work, work, work, work, work, work When you ah guh Learn, learn, learn, learn, learn Meh nuh cyar if him Hurt, hurt, hurt, hurt, hurting Dry! ...Me a desert him Nuh time to have you lurking Him ah go act like he nuh like it You know I dealt with you the nicest Nuh body touch me you nuh righteous Nuh badda, text me in a crisis I believed all of your dreams, adoration You took my heart and my keys and my patience You took my heart on my sleeve for decoration You mistaken my love I brought for you for foundation All that I wanted from you was to give me Something that I never had Something that you've never seen Something that you've never been! Mmmmm! But I wake up and act like nothing's wrong Just get ready fi... Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work! He see me do mi Dirt, dirt, dirt, dirt, dirt, dirt! So me put in Work, work, work, work, work, work Ner ner ner ner ner ner! When yuh ago learn learn learn learn learn learn! Before the tables turn turn turn turn turn turn! Beg you something please Baby don't you leave Don’t leave me stuck here in the streets, uh huh If I get another chance to I will never, no never neglect you I mean who am I to hold your past against you? I just hope that it gets to you I hope that you see this through I hope that you see this true What can I say? Please recognize I'm tryin', babe!!! I have to Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work! He see me do mi Dirt, dirt, dirt, dirt, dirt, dirt! So me put in Work, work, work, work, work, work When you ah guh Learn, learn, learn, learn, learn Meh nuh cyar if him Hurt, hurt, hurt, hurt, hurting Yeah, okay You need to get done, done, done, done at work, come over We just need to slow the motion Don't give that away to no one Long distance, I need you When I see potential I just gotta see it through If you had a twin, I would still choose you I don't wanna rush into it, if it's too soon But I know you need to get done, done, done, done If you come over Sorry if I'm way less friendly I got niggas tryna end me, oh I spilled all my emotions tonight, I’m sorry Rollin', rollin', rollin', rollin', rollin' How many more shots until you're rollin'? We just need a face to face You could pick the time and the place You spent some time away Now you need to forward and give me all the... Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work He se me do mi Dirt, dirt, dirt, dirt, dirt, dirt! So me put in Work, work, work, work, work, work When you ah guh Learn, learn, learn, learn, learn Meh nuh cyar if him Hurt, hurt, hurt, hurt, hurting Mmmmm, mmmmm Mmmmm, mmmmm Work, work, work, work, work, work Mmmmm, mmmmm"
5,"Stressed Out","Twenty One Pilots",2016,"I wish I found some better sounds no one's ever heard I wish I had a better voice that sang some better words I wish I found some chords in an order that is new I wish I didn't have to rhyme every time I sang I was told when I get older, all my fears would shrink But now I'm insecure, and I care what people think My name's Blurryface and I care what you think My name's Blurryface and I care what you think Wish we could turn back time to the good old days When our momma sang us to sleep but now we're stressed out Wish we could turn back time to the good old days When our momma sang us to sleep but now we're stressed out We're stressed out Sometimes a certain smell will take me back to when I was young How come I'm never able to identify where it's coming from? I'd make a candle out of it, if I ever found it Try to sell it, never sell out of it, I'd probably only sell one It'd be to my brother, cause we have the same nose, same clothes, home grown, the stone's throw from a creek we used to roam But it would remind us of when nothing really mattered Out of student loans and tree house homes, we all would take the latter My name's Blurryface and I care what you think My name's Blurryface and I care what you think Wish we could turn back time to the good old days When our momma sang us to sleep but now we're stressed out Wish we could turn back time to the good old days When our momma sang us to sleep but now we're stressed out Used to play pretend, give each other different names, we would build a rocket ship and then we'd fly it far away Used to dream of outer space, but now they're laughing at our face singing wake up, you need to make money, yeah Used to play pretend, give each other different names, we would build a rocket ship and then we'd fly it far away Used to dream of outer space, but now they're laughing at our face singing wake up, you need to make money, yeah Wish we could turn back time to the good old days When our momma sang us to sleep but now we're stressed out Wish we could turn back time to the good old days When our momma sang us to sleep but now we're stressed out We used to play pretend, used to play pretend, money We used to play pretend, wake up you need the money Used to play pretend, used to play pretend, money We used to play pretend, wake up you need the money Used to play pretend, give each other different names, we would build a rocket ship and then we'd fly it far away Used to dream of outer space, but now they're laughing at our face saying wake up, you need to make money, yeah"
6,"Panda","Desiigner",2016,"This what they all been waitin' for I guess so They been waitin' for this shit for a long time didn't they I'ma give it everythin' I got Ayo Dougie park that X6 around the corner Ayy I'm just feelin' my vibe right now I'm feelin' myself Panda, Panda Panda, Panda, Panda, Panda, Panda I got broads in Atlanta Twistin' dope, lean, and the Fanta Credit cards and the scammers Hittin' off licks in the bando Black X6, Phantom White X6 looks like a panda Goin' out like I'm Montana Hundred killers, hundred hammers Black X6, Phantom White X6, panda Pockets swole, Danny Sellin' bar, candy Man I'm the macho like Randy The choppa go Oscar for Grammy Bitch nigga pull up ya panty Hope you killas understand me I got broads in Atlanta Twistin' dope, lean, and the Fanta Credit cards and the scammers Hittin' off licks in the bando Black X6, Phantom White X6 looks like a panda Goin' out like I'm Montana Hundred killers, hundred hammers Black X6, Phantom White X6, panda Pockets swole, Danny Sellin' bar, candy Man I'm the macho like Randy The choppa go Oscar for Grammy Bitch nigga pull up ya panty Hope you killas understand me Hey Panda, Panda Panda, Panda, Panda, Panda, Panda, Panda, Panda, Panda I got broads in Atlanta Twistin' dope, lean, and shit, sippin' Fanta Credit cards and the scammers Wake up Versace shit, life Desiigner Whole bunch of lavish shit They be askin' 'round town who be clappin' shit I be pullin' up stuff in the Phantom ship I got plenty of stuff of Bugatti whip look how I drive this shit Black X6, Phantom White X6, killin' on camera Pop a Perc, I can't stand up Gorilla, they come and kill you with bananas Four fillas, they finna pull up in the Phantom Know niggas, they come and kill you on the camera Big Rollie, it dancin' bigger than a Pandie Go Oscar for Grammy, bitch pull up your panty Fill up I'ma flip it, I got bitches pull up and they get it I got niggas that's countin' for digits Say you make you a lot of new money Know some killers pull off and they in the Wraith CDG, they pull off and they kill the Bape Call up Phillip-Phillip, gon' fill the bank Niggas up in the bank, we gon' drill the bank Fuck we gon' kill the bank, get it I got broads, yea I get it I get cards yea I shitted This how I live it Did it all for a ticket Now Flex drop bombs when he spin it And Bobby gon' trend it Jeff The Don doin' business Zana Ray fuckin' up shit and she doin' her bidnezz I be gettin' to the chicken Countin' to the chicken And all of my niggas gon' split it Panda, Panda Panda, Panda, Panda, Panda, Panda I got broads in Atlanta Twistin' dope, lean, and the Fanta Credit cards and the scammers Hittin' off licks in the bando Black X6, Phantom White X6 looks like a panda Goin' out like I'm Montana Hundred killers, hundred hammers Black X6, Phantom White X6, panda Pockets swole, Danny Sellin' bar, candy Man I'm the macho like Randy The choppa go Oscar for Grammy Bitch nigga pull up ya panty Hope you killas understand me I got broads in Atlanta Twistin' dope, lean, and the Fanta Credit cards and the scammers Hittin' off licks in the bando Black X6, Phantom White X6 looks like a panda Goin' out like I'm Montana Hundred killers, hundred hammers Black X6, Phantom White X6, panda Pockets swole, Danny Sellin' bar, candy Man I'm the macho like Randy The choppa go Oscar for Grammy Bitch nigga pull up ya panty Hope you killas understand me Panda, Panda Panda, Panda, Panda, Panda, Panda"
7,"Hello","Adele",2016,"Hello, it's me I was wondering if after all these years you'd like to meet To go over everything They say that time's supposed to heal ya But I ain't done much healing Hello, can you hear me? I'm in California dreaming about who we used to be When we were younger and free I've forgotten how it felt before the world fell at our feet There's such a difference between us And a million miles Hello from the other side I must've called a thousand times To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside At least I can say that I've tried To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart anymore Hello, how are you? It's so typical of me to talk about myself, I'm sorry I hope that you're well Did you ever make it out of that town where nothing ever happened? It's no secret that the both of us are running out of time So hello from the other side I must've called a thousand times To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside At least I can say that I've tried To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart anymore Oooooh, anymore Oooooh, anymore Oooooh, anymore Anymore Hello from the other side I must've called a thousand times To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside At least I can say that I've tried To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart anymore"
8,"Don't Let Me Down","The Chainsmokers featuring Daya",2016,"NA"
9,"Can't Stop the Feeling!","Justin Timberlake",2016,"I got this feeling inside my bones It goes electric, wavey when I turn it on All through my city, all through my home We're flying up, no ceiling, when we in our zone I got that sunshine in my pocket Got that good song in my feet I feel that hot blood in my body when it drops I can't take my eyes up off it, moving so phenomenally You gone like the way we rock it, so don't stop Under the lights when everything goes Nowhere to hide when I'm getting you close When we move, well, you already know So just imagine, just imagine, just imagine Nothing I can see but you when you dance, dance, dance Feeling good, good, creeping up on you So just dance, dance, dance, come on All those things I should do to you But you dance, dance, dance And ain't nobody leaving soon, so keep dancing I can't stop the feeling So just dance, dance, dance I can't stop the feeling So just dance, dance, dance, come on Ooh, it's something magical It's in the air, it's in my blood, it's rushing on I don't need no reason, don't need control I fly so high, no ceiling, when I'm in my zone Cause I got that sunshine in my pocket Got that good song in my feet I feel that hot blood in my body when it drops I can't take my eyes up off it, moving so phenomenally You gon' like the way we rock it, so don't stop Under the lights when everything goes Nowhere to hide when I'm getting you close When we move, well, you already know So just imagine, just imagine, just imagine Nothing I can see but you when you dance, dance, dance Feeling good, good, creeping up on you So just dance, dance, dance, come on All those things I should do to you But you dance, dance, dance And ain't nobody leaving soon, so keep dancing I can't stop the feeling So just dance, dance, dance I can't stop the feeling So just dance, dance, dance I can't stop the feeling So just dance, dance, dance I can't stop the feeling So keep dancing, come on I can't stop the, I can't stop the I can't stop the, I can't stop the I can't stop the feeling Nothing I can see but you when you dance, dance, dance (I can't stop the feeling) Feeling good, good, creeping up on you So just dance, dance, dance, come on (I can't stop the feeling) All those things I should do to you But you dance, dance, dance (I can't stop the feeling) And ain't nobody leaving soon, so keep dancing Everybody sing (I can't stop the feeling) Got this feeling in my body (I can't stop the feeling) Got this feeling in my body (I can't stop the feeling) Wanna see you move your body (I can't stop the feeling) Got this feeling in my body Break it down Got this feeling in my body Can't stop the feeling Got this feeling in my body, come on"
10,"Closer","The Chainsmokers featuring Halsey",2016,"NA"
